rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.62429960e+32		2.39400000e+06		8.14054697e-03
2.25e+14		2.92070926e+32		1.99400000e+06		1.08774599e-02
2.50e+14		3.32108439e+32		1.73000000e+06		1.42560144e-02
2.75e+14		3.83079333e+32		1.55200000e+06		1.83299518e-02
3.00e+14		4.45937914e+32		1.43000000e+06		2.31580868e-02
3.25e+14		5.21137316e+32		1.34600000e+06		2.87522231e-02
3.50e+14		6.08549123e+32		1.29200000e+06		3.49781991e-02
3.75e+14		7.08286205e+32		1.25400000e+06		4.19445524e-02
4.00e+14		8.19465790e+32		1.23200000e+06		4.93951647e-02
4.25e+14		9.40801184e+32		1.21600000e+06		5.74551018e-02
4.50e+14		1.07100066e+33		1.21000000e+06		6.57307647e-02
4.75e+14		1.20843835e+33		1.20600000e+06		7.44117487e-02
5.00e+14		1.35238772e+33		1.20600000e+06		8.32756876e-02
5.50e+14		1.65141605e+33		1.21000000e+06		1.01352730e-01
6.00e+14		1.95810755e+33		1.21600000e+06		1.19582405e-01
6.50e+14		2.26268414e+33		1.22400000e+06		1.37279862e-01
7.00e+14		2.55628933e+33		1.23000000e+06		1.54336702e-01
7.50e+14		2.83599405e+33		1.23400000e+06		1.70668933e-01
8.00e+14		3.09623436e+33		1.23600000e+06		1.86028581e-01
8.50e+14		3.33532624e+33		1.23600000e+06		2.00393748e-01
9.00e+14		3.55241560e+33		1.23600000e+06		2.13436955e-01
9.50e+14		3.74739965e+33		1.23400000e+06		2.25516940e-01
1.00e+15		3.92090998e+33		1.23000000e+06		2.36726064e-01
1.05e+15		4.07535016e+33		1.22600000e+06		2.46853209e-01
1.10e+15		4.21069992e+33		1.22200000e+06		2.55886517e-01
1.20e+15		4.43310651e+33		1.21200000e+06		2.71625078e-01
1.30e+15		4.60191591e+33		1.20000000e+06		2.84788043e-01
1.40e+15		4.72844722e+33		1.18600000e+06		2.96072571e-01
1.50e+15		4.82249380e+33		1.17400000e+06		3.05047801e-01
1.60e+15		4.89146601e+33		1.16200000e+06		3.12605943e-01
1.70e+15		4.94124762e+33		1.15000000e+06		3.19082581e-01
1.80e+15		4.97625935e+33		1.14000000e+06		3.24162276e-01
1.90e+15		4.99983411e+33		1.12800000e+06		3.29162850e-01
2.00e+15		5.01454801e+33		1.11800000e+06		3.33084411e-01
2.10e+15		5.02239494e+33		1.10800000e+06		3.36616514e-01
2.20e+15		5.02471260e+33		1.10000000e+06		3.39221101e-01
2.30e+15		5.02471259e+33		1.10000000e+06		3.39221100e-01
2.40e+15		5.02471257e+33		1.10000000e+06		3.39221099e-01
2.50e+15		5.02471256e+33		1.10000000e+06		3.39221098e-01
2.60e+15		5.02471254e+33		1.10000000e+06		3.39221097e-01
2.70e+15		5.02471252e+33		1.10000000e+06		3.39221096e-01
2.80e+15		5.02471251e+33		1.10000000e+06		3.39221094e-01
2.90e+15		5.02471249e+33		1.10000000e+06		3.39221093e-01
3.00e+15		5.02471248e+33		1.10000000e+06		3.39221092e-01
