rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		1.67129765e+32		2.50200000e+06		4.96056123e-03
2.25e+14		1.86110376e+32		1.94800000e+06		7.09489467e-03
2.50e+14		2.21118403e+32		1.56800000e+06		1.04723259e-02
2.75e+14		2.61647889e+32		1.37600000e+06		1.41209241e-02
3.00e+14		3.19308809e+32		1.24800000e+06		1.90003076e-02
3.25e+14		3.74889657e+32		1.18400000e+06		2.35134348e-02
3.50e+14		4.56834123e+32		1.13400000e+06		2.99164322e-02
3.75e+14		5.37212003e+32		1.11000000e+06		3.59407426e-02
4.00e+14		6.21047990e+32		1.09600000e+06		4.20803094e-02
4.25e+14		7.33301539e+32		1.09000000e+06		4.99597684e-02
4.50e+14		8.39161068e+32		1.08800000e+06		5.72770641e-02
4.75e+14		9.37061152e+32		1.09000000e+06		6.38418926e-02
5.00e+14		1.07699708e+33		1.09400000e+06		7.31074308e-02
5.50e+14		1.33861876e+33		1.10800000e+06		8.97183883e-02
6.00e+14		1.59134210e+33		1.12000000e+06		1.05513941e-01
6.50e+14		1.87251001e+33		1.13400000e+06		1.22623981e-01
7.00e+14		2.15398559e+33		1.14600000e+06		1.39579775e-01
7.50e+14		2.42696038e+33		1.15600000e+06		1.55908276e-01
8.00e+14		2.68251555e+33		1.16400000e+06		1.71140811e-01
8.50e+14		2.91311856e+33		1.16800000e+06		1.85216484e-01
9.00e+14		3.11552763e+33		1.17200000e+06		1.97409621e-01
9.50e+14		3.28951940e+33		1.17400000e+06		2.08079201e-01
1.00e+15		3.43781198e+33		1.17400000e+06		2.17459478e-01
1.05e+15		3.56420990e+33		1.17200000e+06		2.25839539e-01
1.10e+15		3.67248739e+33		1.17000000e+06		2.33098119e-01
1.20e+15		3.84807339e+33		1.16400000e+06		2.45501802e-01
1.30e+15		3.98686524e+33		1.15600000e+06		2.56116784e-01
1.40e+15		4.10786384e+33		1.14800000e+06		2.65728704e-01
1.50e+15		4.20722842e+33		1.13600000e+06		2.75031272e-01
1.60e+15		4.28595713e+33		1.12600000e+06		2.82666115e-01
1.70e+15		4.34817965e+33		1.11400000e+06		2.89858877e-01
1.80e+15		4.39650060e+33		1.10400000e+06		2.95734765e-01
1.90e+15		4.43358270e+33		1.09400000e+06		3.00955171e-01
2.00e+15		4.46154156e+33		1.08400000e+06		3.05646888e-01
2.10e+15		4.48206908e+33		1.07400000e+06		3.09912136e-01
2.20e+15		4.49652403e+33		1.06400000e+06		3.13833723e-01
2.30e+15		4.50600358e+33		1.05400000e+06		3.17479172e-01
2.40e+15		4.51140302e+33		1.04600000e+06		3.20290649e-01
2.50e+15		4.51344785e+33		1.03800000e+06		3.22905463e-01
2.60e+15		4.51270327e+33		1.03000000e+06		3.25359783e-01
2.70e+15		4.50966515e+33		1.02200000e+06		3.27685873e-01
2.80e+15		4.50474461e+33		1.01400000e+06		3.29910803e-01
2.90e+15		4.49828730e+33		1.00800000e+06		3.31398833e-01
3.00e+15		4.49056378e+33		1.00000000e+06		3.33476464e-01
