rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		1.67129765e+32		2.50200000e+06		4.96056123e-03
2.25e+14		1.86110376e+32		1.94800000e+06		7.09489467e-03
2.50e+14		2.21118403e+32		1.56800000e+06		1.04723259e-02
2.75e+14		2.61647889e+32		1.37600000e+06		1.41209241e-02
3.00e+14		3.19308809e+32		1.24800000e+06		1.90003076e-02
3.25e+14		3.74889657e+32		1.18400000e+06		2.35134348e-02
3.50e+14		4.56834123e+32		1.13400000e+06		2.99164322e-02
3.75e+14		5.37212003e+32		1.11000000e+06		3.59407426e-02
4.00e+14		6.21047990e+32		1.09600000e+06		4.20803094e-02
4.25e+14		7.33301539e+32		1.09000000e+06		4.99597684e-02
4.50e+14		8.39161068e+32		1.08800000e+06		5.72770641e-02
4.75e+14		9.37061152e+32		1.09000000e+06		6.38418926e-02
5.00e+14		1.07699708e+33		1.09400000e+06		7.31074308e-02
5.50e+14		1.33861876e+33		1.10800000e+06		8.97183883e-02
6.00e+14		1.59143161e+33		1.12000000e+06		1.05519877e-01
6.50e+14		1.87855577e+33		1.13400000e+06		1.23019896e-01
7.00e+14		2.17422250e+33		1.14600000e+06		1.40891141e-01
7.50e+14		2.47500734e+33		1.15800000e+06		1.58720218e-01
8.00e+14		2.77363908e+33		1.16800000e+06		1.76348359e-01
8.50e+14		3.05986488e+33		1.17400000e+06		1.93552359e-01
9.00e+14		3.32102835e+33		1.18000000e+06		2.09004142e-01
9.50e+14		3.54823027e+33		1.18200000e+06		2.22924929e-01
1.00e+15		3.73890188e+33		1.18200000e+06		2.34904269e-01
1.05e+15		3.89633213e+33		1.18200000e+06		2.44795151e-01
1.10e+15		4.02611074e+33		1.18200000e+06		2.52948761e-01
1.20e+15		4.22470779e+33		1.17600000e+06		2.66780248e-01
1.30e+15		4.37004746e+33		1.17000000e+06		2.77373272e-01
1.40e+15		4.48645572e+33		1.16000000e+06		2.87216717e-01
1.50e+15		4.57725193e+33		1.15000000e+06		2.95577447e-01
1.60e+15		4.64569158e+33		1.14000000e+06		3.02628511e-01
1.70e+15		4.69673390e+33		1.13000000e+06		3.08661050e-01
1.80e+15		4.73413253e+33		1.12000000e+06		3.13896668e-01
1.90e+15		4.76076521e+33		1.11000000e+06		3.18506356e-01
2.00e+15		4.77886809e+33		1.10000000e+06		3.22624003e-01
2.10e+15		4.79018363e+33		1.09200000e+06		3.25757064e-01
2.20e+15		4.79607309e+33		1.08200000e+06		3.29171972e-01
2.30e+15		4.79762935e+33		1.07400000e+06		3.31731512e-01
2.40e+15		4.79571150e+33		1.06600000e+06		3.34087450e-01
2.50e+15		4.79100652e+33		1.05800000e+06		3.36283387e-01
2.60e+15		4.78407342e+33		1.05000000e+06		3.38355200e-01
2.70e+15		4.78071919e+33		1.04600000e+06		3.39410965e-01
2.80e+15		4.78071926e+33		1.04600000e+06		3.39410970e-01
2.90e+15		4.78071933e+33		1.04600000e+06		3.39410975e-01
3.00e+15		4.78071940e+33		1.04600000e+06		3.39410980e-01
