rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		1.67129765e+32		2.50200000e+06		4.96056123e-03
2.25e+14		1.86110376e+32		1.94800000e+06		7.09489467e-03
2.50e+14		2.21118403e+32		1.56800000e+06		1.04723259e-02
2.75e+14		2.61647889e+32		1.37600000e+06		1.41209241e-02
3.00e+14		3.19308809e+32		1.24800000e+06		1.90003076e-02
3.25e+14		3.74889657e+32		1.18400000e+06		2.35134348e-02
3.50e+14		4.56834123e+32		1.13400000e+06		2.99164322e-02
3.75e+14		5.37212003e+32		1.11000000e+06		3.59407426e-02
4.00e+14		6.21047990e+32		1.09600000e+06		4.20803094e-02
4.25e+14		7.33301539e+32		1.09000000e+06		4.99597684e-02
4.50e+14		8.39161068e+32		1.08800000e+06		5.72770641e-02
4.75e+14		9.37061152e+32		1.09000000e+06		6.38418926e-02
5.00e+14		1.07699708e+33		1.09400000e+06		7.31074308e-02
5.50e+14		1.33861876e+33		1.10800000e+06		8.97183883e-02
6.00e+14		1.59265367e+33		1.12000000e+06		1.05600906e-01
6.50e+14		1.87977704e+33		1.13400000e+06		1.23099872e-01
7.00e+14		2.17735425e+33		1.14600000e+06		1.41094080e-01
7.50e+14		2.48673159e+33		1.15800000e+06		1.59472084e-01
8.00e+14		2.80485595e+33		1.16800000e+06		1.78333132e-01
8.50e+14		3.12736741e+33		1.17600000e+06		1.97485813e-01
9.00e+14		3.43965573e+33		1.18400000e+06		2.15738469e-01
9.50e+14		3.72329797e+33		1.18800000e+06		2.32742487e-01
1.00e+15		3.96258669e+33		1.18800000e+06		2.47700369e-01
1.05e+15		4.15474269e+33		1.19000000e+06		2.59275505e-01
1.10e+15		4.30648266e+33		1.18800000e+06		2.69197226e-01
1.20e+15		4.52459177e+33		1.18400000e+06		2.83786686e-01
1.30e+15		4.67271415e+33		1.17800000e+06		2.94569815e-01
1.40e+15		4.78352256e+33		1.17000000e+06		3.03617139e-01
1.50e+15		4.86629169e+33		1.16000000e+06		3.11533293e-01
1.60e+15		4.92613562e+33		1.15200000e+06		3.17554450e-01
1.70e+15		4.96860512e+33		1.14200000e+06		3.23096830e-01
1.80e+15		4.99778350e+33		1.13200000e+06		3.27865206e-01
1.90e+15		5.01680958e+33		1.12200000e+06		3.32046631e-01
2.00e+15		5.02780731e+33		1.11400000e+06		3.35164299e-01
2.10e+15		5.03255321e+33		1.10400000e+06		3.38519445e-01
2.20e+15		5.03243277e+33		1.09600000e+06		3.40982229e-01
2.30e+15		5.02850768e+33		1.08800000e+06		3.43221544e-01
2.40e+15		5.02195316e+33		1.08000000e+06		3.45313232e-01
2.50e+15		5.02195322e+33		1.08000000e+06		3.45313236e-01
2.60e+15		5.02195328e+33		1.08000000e+06		3.45313240e-01
2.70e+15		5.02195334e+33		1.08000000e+06		3.45313244e-01
2.80e+15		5.02195339e+33		1.08000000e+06		3.45313248e-01
2.90e+15		5.02195345e+33		1.08000000e+06		3.45313252e-01
3.00e+15		5.02195351e+33		1.08000000e+06		3.45313256e-01
