rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		1.67129765e+32		2.50200000e+06		4.96056123e-03
2.25e+14		1.86110376e+32		1.94800000e+06		7.09489467e-03
2.50e+14		2.21118403e+32		1.56800000e+06		1.04723259e-02
2.75e+14		2.61647889e+32		1.37600000e+06		1.41209241e-02
3.00e+14		3.19308809e+32		1.24800000e+06		1.90003076e-02
3.25e+14		3.74889657e+32		1.18400000e+06		2.35134348e-02
3.50e+14		4.56834123e+32		1.13400000e+06		2.99164322e-02
3.75e+14		5.37212003e+32		1.11000000e+06		3.59407426e-02
4.00e+14		6.21047990e+32		1.09600000e+06		4.20803094e-02
4.25e+14		7.33301539e+32		1.09000000e+06		4.99597684e-02
4.50e+14		8.39161068e+32		1.08800000e+06		5.72770641e-02
4.75e+14		9.37061152e+32		1.09000000e+06		6.38418926e-02
5.00e+14		1.07699708e+33		1.09400000e+06		7.31074308e-02
5.50e+14		1.33861876e+33		1.10800000e+06		8.97183883e-02
6.00e+14		1.59332366e+33		1.12000000e+06		1.05645329e-01
6.50e+14		1.87938259e+33		1.13400000e+06		1.23074041e-01
7.00e+14		2.17577968e+33		1.14600000e+06		1.40992047e-01
7.50e+14		2.48473815e+33		1.15800000e+06		1.59344246e-01
8.00e+14		2.80687356e+33		1.16800000e+06		1.78461412e-01
8.50e+14		3.14455837e+33		1.17800000e+06		1.98234248e-01
9.00e+14		3.49050607e+33		1.18400000e+06		2.18927851e-01
9.50e+14		3.82671891e+33		1.19000000e+06		2.38805277e-01
1.00e+15		4.12018663e+33		1.19200000e+06		2.56687636e-01
1.05e+15		4.35196049e+33		1.19200000e+06		2.71127148e-01
1.10e+15		4.52680665e+33		1.19200000e+06		2.82020064e-01
1.20e+15		4.76206875e+33		1.18800000e+06		2.97675806e-01
1.30e+15		4.91186466e+33		1.18200000e+06		3.08598090e-01
1.40e+15		5.01829848e+33		1.17400000e+06		3.17433465e-01
1.50e+15		5.09405941e+33		1.16600000e+06		3.24436549e-01
1.60e+15		5.14729365e+33		1.15800000e+06		3.30091776e-01
1.70e+15		5.18331233e+33		1.15000000e+06		3.34713983e-01
1.80e+15		5.20650810e+33		1.14000000e+06		3.39161084e-01
1.90e+15		5.21995826e+33		1.13200000e+06		3.42440341e-01
2.00e+15		5.22588025e+33		1.12200000e+06		3.45884352e-01
2.10e+15		5.22606711e+33		1.11400000e+06		3.48380718e-01
2.20e+15		5.22364706e+33		1.10800000e+06		3.50105057e-01
2.30e+15		5.22364709e+33		1.10800000e+06		3.50105059e-01
2.40e+15		5.22364712e+33		1.10800000e+06		3.50105061e-01
2.50e+15		5.22364715e+33		1.10800000e+06		3.50105062e-01
2.60e+15		5.22364718e+33		1.10800000e+06		3.50105064e-01
2.70e+15		5.22364721e+33		1.10800000e+06		3.50105066e-01
2.80e+15		5.22364724e+33		1.10800000e+06		3.50105068e-01
2.90e+15		5.22364726e+33		1.10800000e+06		3.50105070e-01
3.00e+15		5.22364729e+33		1.10800000e+06		3.50105072e-01
