rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.57480612e+32		1.64200000e+06		1.16448983e-02
2.25e+14		3.18150301e+32		1.44600000e+06		1.63391088e-02
2.50e+14		3.90710955e+32		1.33600000e+06		2.17176809e-02
2.75e+14		4.74450701e+32		1.27400000e+06		2.76557845e-02
3.00e+14		5.68197643e+32		1.23800000e+06		3.40834149e-02
3.25e+14		6.70622097e+32		1.21800000e+06		4.08879078e-02
3.50e+14		7.66034461e+32		1.20800000e+06		4.70918433e-02
3.75e+14		7.66031927e+32		1.20600000e+06		4.71697833e-02
4.00e+14		7.66029296e+32		1.20400000e+06		4.72479761e-02
4.25e+14		8.17881593e+32		1.19600000e+06		5.07836103e-02
4.50e+14		8.80867532e+32		1.18600000e+06		5.51556785e-02
4.75e+14		9.52011585e+32		1.17600000e+06		6.01172671e-02
5.00e+14		1.03151178e+33		1.16800000e+06		6.55836625e-02
5.50e+14		1.21353833e+33		1.15800000e+06		7.78232306e-02
6.00e+14		1.41792682e+33		1.15200000e+06		9.14040954e-02
6.50e+14		1.63986324e+33		1.15200000e+06		1.05710827e-01
7.00e+14		1.87875719e+33		1.15200000e+06		1.21110694e-01
7.50e+14		2.13459994e+33		1.15600000e+06		1.37127001e-01
8.00e+14		2.40769416e+33		1.15800000e+06		1.54403478e-01
8.50e+14		2.69428651e+33		1.16200000e+06		1.72187637e-01
9.00e+14		2.98416222e+33		1.16400000e+06		1.90385454e-01
9.50e+14		3.25908638e+33		1.16600000e+06		2.07568592e-01
1.00e+15		3.50099916e+33		1.16800000e+06		2.22594014e-01
1.05e+15		3.70132916e+33		1.16800000e+06		2.35331024e-01
1.10e+15		3.86292672e+33		1.16600000e+06		2.46026698e-01
1.20e+15		4.10077975e+33		1.16200000e+06		2.62074420e-01
1.30e+15		4.26716962e+33		1.15600000e+06		2.74123577e-01
1.40e+15		4.39627178e+33		1.14800000e+06		2.84385181e-01
1.50e+15		4.49819466e+33		1.14000000e+06		2.93020303e-01
1.60e+15		4.57552881e+33		1.13000000e+06		3.00695666e-01
1.70e+15		4.63378857e+33		1.12000000e+06		3.07243362e-01
1.80e+15		4.67709707e+33		1.11000000e+06		3.12908761e-01
1.90e+15		4.70858596e+33		1.10200000e+06		3.17302304e-01
2.00e+15		4.73080973e+33		1.09200000e+06		3.21719334e-01
2.10e+15		4.74553020e+33		1.08400000e+06		3.25102101e-01
2.20e+15		4.75447848e+33		1.07400000e+06		3.28747851e-01
2.30e+15		4.75861287e+33		1.06600000e+06		3.31503019e-01
2.40e+15		4.75887474e+33		1.05800000e+06		3.34028039e-01
2.50e+15		4.75609054e+33		1.05000000e+06		3.36376101e-01
2.60e+15		4.75092750e+33		1.04200000e+06		3.38590682e-01
2.70e+15		4.74374057e+33		1.03600000e+06		3.40036464e-01
2.80e+15		4.73491913e+33		1.02800000e+06		3.42045412e-01
2.90e+15		4.73005998e+33		1.02600000e+06		3.42360463e-01
3.00e+15		4.73006007e+33		1.02600000e+06		3.42360470e-01
