rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		3.07670997e+32		1.66800000e+06		1.36979265e-02
2.25e+14		3.74102541e+32		1.49800000e+06		1.85456971e-02
2.50e+14		4.47970581e+32		1.40000000e+06		2.37621524e-02
2.75e+14		5.29628459e+32		1.34000000e+06		2.93515360e-02
3.00e+14		6.18650518e+32		1.30200000e+06		3.52856981e-02
3.25e+14		7.14260560e+32		1.27600000e+06		4.15690705e-02
3.50e+14		8.16474798e+32		1.26000000e+06		4.81212120e-02
3.75e+14		9.24032579e+32		1.25000000e+06		5.48961122e-02
4.00e+14		1.03615713e+33		1.24400000e+06		6.18542518e-02
4.25e+14		1.15262967e+33		1.24000000e+06		6.90291343e-02
4.50e+14		1.27206971e+33		1.23800000e+06		7.63052791e-02
4.75e+14		1.39410695e+33		1.23800000e+06		8.36257001e-02
5.00e+14		1.51784586e+33		1.23800000e+06		9.10481957e-02
5.50e+14		1.76773450e+33		1.24000000e+06		1.05866772e-01
6.00e+14		2.01665692e+33		1.24400000e+06		1.20385993e-01
6.50e+14		2.26088448e+33		1.24600000e+06		1.34748720e-01
7.00e+14		2.49694388e+33		1.24600000e+06		1.48817861e-01
7.50e+14		2.72244295e+33		1.24600000e+06		1.62257606e-01
8.00e+14		2.93562109e+33		1.24400000e+06		1.75244314e-01
8.50e+14		3.13562626e+33		1.24200000e+06		1.87485211e-01
9.00e+14		3.32183994e+33		1.23800000e+06		1.99261032e-01
9.50e+14		3.49400535e+33		1.23400000e+06		2.10267777e-01
1.00e+15		3.65236368e+33		1.23000000e+06		2.20512504e-01
1.05e+15		3.79738774e+33		1.22400000e+06		2.30392239e-01
1.10e+15		3.92963005e+33		1.21800000e+06		2.39590005e-01
1.20e+15		4.15829245e+33		1.20600000e+06		2.56054280e-01
1.30e+15		4.34432827e+33		1.19200000e+06		2.70651661e-01
1.40e+15		4.49388085e+33		1.17800000e+06		2.83296090e-01
1.50e+15		4.61270416e+33		1.16400000e+06		2.94284196e-01
1.60e+15		4.70595432e+33		1.14800000e+06		3.04417866e-01
1.70e+15		4.77807363e+33		1.13600000e+06		3.12348068e-01
1.80e+15		4.83296597e+33		1.12200000e+06		3.19878608e-01
1.90e+15		4.87377552e+33		1.10800000e+06		3.26655579e-01
2.00e+15		4.90315506e+33		1.09600000e+06		3.32222767e-01
2.10e+15		4.92329274e+33		1.08400000e+06		3.37280082e-01
2.20e+15		4.93225120e+33		1.07800000e+06		3.39774470e-01
2.30e+15		4.93225113e+33		1.07800000e+06		3.39774465e-01
2.40e+15		4.93225106e+33		1.07800000e+06		3.39774461e-01
2.50e+15		4.93225099e+33		1.07800000e+06		3.39774456e-01
2.60e+15		4.93225092e+33		1.07800000e+06		3.39774451e-01
2.70e+15		4.93224644e+33		1.07600000e+06		3.40405693e-01
2.80e+15		4.93224637e+33		1.07600000e+06		3.40405688e-01
2.90e+15		4.93224630e+33		1.07600000e+06		3.40405683e-01
3.00e+15		4.93224623e+33		1.07600000e+06		3.40405678e-01
