rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		3.66265350e+32		1.48800000e+06		1.82792015e-02
2.25e+14		4.30584111e+32		1.40600000e+06		2.27424368e-02
2.50e+14		5.17924946e+32		1.34400000e+06		2.86175123e-02
2.75e+14		6.38429494e+32		1.30200000e+06		3.64138229e-02
3.00e+14		7.98265511e+32		1.28000000e+06		4.63128721e-02
3.25e+14		9.97516586e+32		1.27600000e+06		5.80542166e-02
3.50e+14		1.23076680e+33		1.28400000e+06		7.11828000e-02
3.75e+14		1.48899625e+33		1.30000000e+06		8.50578829e-02
4.00e+14		1.76171405e+33		1.31600000e+06		9.94131523e-02
4.25e+14		2.03875878e+33		1.33400000e+06		1.13494373e-01
4.50e+14		2.31142736e+33		1.35000000e+06		1.27148370e-01
4.75e+14		2.57311248e+33		1.36400000e+06		1.40090510e-01
5.00e+14		2.81920367e+33		1.37600000e+06		1.52150133e-01
5.50e+14		3.25552063e+33		1.39200000e+06		1.73678290e-01
6.00e+14		3.61527251e+33		1.40200000e+06		1.91494958e-01
6.50e+14		3.90672589e+33		1.40600000e+06		2.06344044e-01
7.00e+14		4.14290595e+33		1.40600000e+06		2.18818518e-01
7.50e+14		4.33656833e+33		1.40400000e+06		2.29373586e-01
8.00e+14		4.49805186e+33		1.40000000e+06		2.38594671e-01
8.50e+14		4.63489392e+33		1.39400000e+06		2.46911514e-01
9.00e+14		4.75228795e+33		1.38600000e+06		2.54626637e-01
9.50e+14		4.85372234e+33		1.37800000e+06		2.61571262e-01
1.00e+15		4.94161541e+33		1.37000000e+06		2.67862978e-01
1.05e+15		5.01771485e+33		1.36200000e+06		2.73585570e-01
1.10e+15		5.08339933e+33		1.35200000e+06		2.79216998e-01
1.20e+15		5.18798670e+33		1.33200000e+06		2.89240396e-01
1.30e+15		5.26313153e+33		1.31200000e+06		2.97902883e-01
1.40e+15		5.31517814e+33		1.29400000e+06		3.05033730e-01
1.50e+15		5.34931838e+33		1.27600000e+06		3.11323634e-01
1.60e+15		5.36972168e+33		1.26000000e+06		3.16479474e-01
1.70e+15		5.37965632e+33		1.24400000e+06		3.21143007e-01
1.80e+15		5.38167827e+33		1.23000000e+06		3.24920368e-01
1.90e+15		5.37775886e+33		1.21600000e+06		3.28421868e-01
2.00e+15		5.36943644e+33		1.20400000e+06		3.31181857e-01
2.10e+15		5.35790370e+33		1.19200000e+06		3.33797412e-01
2.20e+15		5.34410041e+33		1.18200000e+06		3.35754198e-01
2.30e+15		5.32875393e+33		1.17200000e+06		3.37646593e-01
2.40e+15		5.31243678e+33		1.16400000e+06		3.38926177e-01
2.50e+15		5.29556353e+33		1.15600000e+06		3.40187747e-01
2.60e+15		5.28219030e+33		1.15000000e+06		3.41099059e-01
2.70e+15		5.28219046e+33		1.15000000e+06		3.41099069e-01
2.80e+15		5.28219062e+33		1.15000000e+06		3.41099079e-01
2.90e+15		5.28218494e+33		1.14800000e+06		3.41692961e-01
3.00e+15		5.28218510e+33		1.14800000e+06		3.41692972e-01
