rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		4.00004638e+32		1.17600000e+06		2.52593414e-02
2.25e+14		5.53368191e+32		1.18000000e+06		3.48254311e-02
2.50e+14		7.17411051e+32		1.19800000e+06		4.44708635e-02
2.75e+14		8.92473999e+32		1.22000000e+06		5.43250406e-02
3.00e+14		1.07203031e+33		1.24000000e+06		6.42021683e-02
3.25e+14		1.25823510e+33		1.26200000e+06		7.40400595e-02
3.50e+14		1.44453205e+33		1.28000000e+06		8.38072381e-02
3.75e+14		1.63247008e+33		1.29600000e+06		9.35415466e-02
4.00e+14		1.81683963e+33		1.31000000e+06		1.02993452e-01
4.25e+14		1.99892261e+33		1.32200000e+06		1.12286836e-01
4.50e+14		2.17490959e+33		1.33200000e+06		1.21255459e-01
4.75e+14		2.34596024e+33		1.34200000e+06		1.29817263e-01
5.00e+14		2.50945238e+33		1.34800000e+06		1.38246258e-01
5.50e+14		2.81534127e+33		1.35800000e+06		1.53955637e-01
6.00e+14		3.09062069e+33		1.36400000e+06		1.68265723e-01
6.50e+14		3.33548394e+33		1.36600000e+06		1.81331174e-01
7.00e+14		3.55146984e+33		1.36400000e+06		1.93356190e-01
7.50e+14		3.74084514e+33		1.36200000e+06		2.03965606e-01
8.00e+14		3.90340483e+33		1.35800000e+06		2.13455890e-01
8.50e+14		4.03776281e+33		1.35200000e+06		2.21783090e-01
9.00e+14		4.15315265e+33		1.34400000e+06		2.29478997e-01
9.50e+14		4.25299514e+33		1.33800000e+06		2.36049503e-01
1.00e+15		4.33959466e+33		1.33000000e+06		2.42304703e-01
1.05e+15		4.41470761e+33		1.32400000e+06		2.47615757e-01
1.10e+15		4.47923696e+33		1.31400000e+06		2.53147120e-01
1.20e+15		4.58340558e+33		1.29800000e+06		2.62227307e-01
1.30e+15		4.66129559e+33		1.28200000e+06		2.70011920e-01
1.40e+15		4.71890557e+33		1.26000000e+06		2.78121818e-01
1.50e+15		4.76069902e+33		1.24400000e+06		2.84193842e-01
1.60e+15		4.79004331e+33		1.23600000e+06		2.87796354e-01
1.70e+15		4.80959004e+33		1.22200000e+06		2.92281395e-01
1.80e+15		4.82141232e+33		1.20200000e+06		2.97875047e-01
1.90e+15		4.82694394e+33		1.19600000e+06		2.99712870e-01
2.00e+15		4.82760236e+33		1.18200000e+06		3.03304135e-01
2.10e+15		4.82441709e+33		1.16600000e+06		3.07263246e-01
2.20e+15		4.81796683e+33		1.15400000e+06		3.10043274e-01
2.30e+15		4.80911884e+33		1.14400000e+06		3.12179084e-01
2.40e+15		4.79819728e+33		1.13400000e+06		3.14216772e-01
2.50e+15		4.78585299e+33		1.12400000e+06		3.16196720e-01
2.60e+15		4.77214667e+33		1.11400000e+06		3.18121419e-01
2.70e+15		4.75762539e+33		1.10600000e+06		3.19447456e-01
2.80e+15		4.74234116e+33		1.09800000e+06		3.20741216e-01
2.90e+15		4.72639635e+33		1.09200000e+06		3.21419201e-01
3.00e+15		4.71024494e+33		1.08200000e+06		3.23281274e-01
