rho_cs		 Mass (M☉)		Density (g/cm^3)		(GM)/(C^2R)
2.00e+14		7.53982237e+24		2.00000000e+03		0.03482039711956696
2.25e+14		6.22033595e+25		4.00000000e+03		0.03482039711956696
2.50e+14		2.07343339e+26		6.00000000e+03		0.03482039711956696
2.75e+14		4.88195166e+26		8.00000000e+03		0.03482039711956696
3.00e+14		9.49990774e+26		1.00000000e+04		0.03482039711956696
3.25e+14		1.63795745e+27		1.20000000e+04		0.03482039711956696
3.50e+14		2.59731665e+27		1.40000000e+04		0.03482039711956696
3.75e+14		3.87328284e+27		1.60000000e+04		0.03482039711956696
4.00e+14		5.51106235e+27		1.80000000e+04		0.03482039711956696
4.25e+14		7.55585214e+27		2.00000000e+04		0.03482039711956696
4.50e+14		1.00528387e+28		2.20000000e+04		0.03482039711956696
4.75e+14		1.30471969e+28		2.40000000e+04		0.03482039711956696
5.00e+14		1.65840886e+28		2.60000000e+04		0.03482039711956696
5.50e+14		2.07086620e+28		2.80000000e+04		0.03482039711956696
6.00e+14		2.54660498e+28		3.00000000e+04		0.03482039711956696
6.50e+14		3.09013685e+28		3.20000000e+04		0.03482039711956696
7.00e+14		3.70597172e+28		3.40000000e+04		0.03482039711956696
7.50e+14		4.39861763e+28		3.60000000e+04		0.03482039711956696
8.00e+14		5.17258064e+28		3.80000000e+04		0.03482039711956696
8.50e+14		6.03236471e+28		4.00000000e+04		0.03482039711956696
9.00e+14		6.98247158e+28		4.20000000e+04		0.03482039711956696
9.50e+14		8.02740069e+28		4.40000000e+04		0.03482039711956696
1.00e+15		9.17164901e+28		4.60000000e+04		0.03482039711956696
1.05e+15		1.04197109e+29		4.80000000e+04		0.03482039711956696
1.10e+15		1.17760783e+29		5.00000000e+04		0.03482039711956696
1.20e+15		1.32452399e+29		5.20000000e+04		0.03482039711956696
1.30e+15		1.48316819e+29		5.40000000e+04		0.03482039711956696
1.40e+15		1.65398873e+29		5.60000000e+04		0.03482039711956696
1.50e+15		1.83743360e+29		5.80000000e+04		0.03482039711956696
1.60e+15		2.03395047e+29		6.00000000e+04		0.03482039711956696
1.70e+15		2.24398666e+29		6.20000000e+04		0.03482039711956696
1.80e+15		2.46798915e+29		6.40000000e+04		0.03482039711956696
1.90e+15		2.70640457e+29		6.60000000e+04		0.03482039711956696
2.00e+15		2.95967916e+29		6.80000000e+04		0.03482039711956696
2.10e+15		3.22825879e+29		7.00000000e+04		0.03482039711956696
2.20e+15		3.51258895e+29		7.20000000e+04		0.03482039711956696
2.30e+15		3.81311469e+29		7.40000000e+04		0.03482039711956696
2.40e+15		4.13028068e+29		7.60000000e+04		0.03482039711956696
2.50e+15		4.46453113e+29		7.80000000e+04		0.03482039711956696
2.60e+15		4.81630985e+29		8.00000000e+04		0.03482039711956696
2.70e+15		5.18606017e+29		8.20000000e+04		0.03482039711956696
2.80e+15		5.57422496e+29		8.40000000e+04		0.03482039711956696
2.90e+15		5.98124663e+29		8.60000000e+04		0.03482039711956696
3.00e+15		6.40756711e+29		8.80000000e+04		0.03482039711956696
