rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		3.43176944e+32		1.22000000e+06		2.08892376e-02
2.25e+14		4.63720182e+32		1.19200000e+06		2.88897684e-02
2.50e+14		5.97339754e+32		1.19000000e+06		3.72768130e-02
2.75e+14		7.46863638e+32		1.20000000e+06		4.62194090e-02
3.00e+14		9.05026924e+32		1.21200000e+06		5.54527639e-02
3.25e+14		1.07366061e+33		1.22800000e+06		6.49281414e-02
3.50e+14		1.24604173e+33		1.24400000e+06		7.43834853e-02
3.75e+14		1.42335202e+33		1.25800000e+06		8.40225775e-02
4.00e+14		1.59998673e+33		1.27200000e+06		9.34100465e-02
4.25e+14		1.77683909e+33		1.28400000e+06		1.02765513e-01
4.50e+14		1.94964380e+33		1.29600000e+06		1.11715798e-01
4.75e+14		2.11922578e+33		1.30400000e+06		1.20687962e-01
5.00e+14		2.28257282e+33		1.31200000e+06		1.29197802e-01
5.50e+14		2.59110172e+33		1.32400000e+06		1.45331848e-01
6.00e+14		2.87145152e+33		1.33000000e+06		1.60329769e-01
6.50e+14		3.12264332e+33		1.33400000e+06		1.73832457e-01
7.00e+14		3.34547613e+33		1.33400000e+06		1.86237196e-01
7.50e+14		3.54179035e+33		1.33400000e+06		1.97165688e-01
8.00e+14		3.71390833e+33		1.33000000e+06		2.07369011e-01
8.50e+14		3.86432972e+33		1.32600000e+06		2.16418792e-01
9.00e+14		3.99549226e+33		1.32000000e+06		2.24781560e-01
9.50e+14		4.10969401e+33		1.31400000e+06		2.32262149e-01
1.00e+15		4.20901673e+33		1.30800000e+06		2.38966612e-01
1.05e+15		4.29532238e+33		1.30000000e+06		2.45367326e-01
1.10e+15		4.37025630e+33		1.29200000e+06		2.51193682e-01
1.20e+15		4.49158502e+33		1.27800000e+06		2.60995542e-01
1.30e+15		4.58240714e+33		1.26200000e+06		2.69648890e-01
1.40e+15		4.64982334e+33		1.24800000e+06		2.76685363e-01
1.50e+15		4.69916722e+33		1.23400000e+06		2.82793913e-01
1.60e+15		4.73447375e+33		1.22000000e+06		2.88188203e-01
1.70e+15		4.75881171e+33		1.20800000e+06		2.92547173e-01
1.80e+15		4.77452041e+33		1.19400000e+06		2.96954387e-01
1.90e+15		4.78342227e+33		1.18200000e+06		3.00528430e-01
2.00e+15		4.78692170e+33		1.17000000e+06		3.03832887e-01
2.10e+15		4.78612786e+33		1.16000000e+06		3.06401315e-01
2.20e+15		4.78190876e+33		1.15000000e+06		3.08793225e-01
2.30e+15		4.77495663e+33		1.14000000e+06		3.11049063e-01
2.40e+15		4.76582483e+33		1.13000000e+06		3.13201584e-01
2.50e+15		4.75495795e+33		1.12000000e+06		3.15277498e-01
2.60e+15		4.74272260e+33		1.11200000e+06		3.16728580e-01
2.70e+15		4.72940395e+33		1.10400000e+06		3.18127824e-01
2.80e+15		4.71524062e+33		1.09600000e+06		3.19490260e-01
2.90e+15		4.70042692e+33		1.08800000e+06		3.20828342e-01
3.00e+15		4.68512259e+33		1.08000000e+06		3.22152512e-01
