rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.15727192e+32		2.45400000e+06		6.52821803e-03
2.25e+14		2.38959093e+32		2.00600000e+06		8.84620399e-03
2.50e+14		2.69564200e+32		1.71800000e+06		1.16520777e-02
2.75e+14		3.08780687e+32		1.52200000e+06		1.50660635e-02
3.00e+14		3.56216599e+32		1.39200000e+06		1.90037468e-02
3.25e+14		4.14633408e+32		1.30000000e+06		2.36856472e-02
3.50e+14		4.83040070e+32		1.23600000e+06		2.90221115e-02
3.75e+14		5.64642563e+32		1.19400000e+06		3.51183096e-02
4.00e+14		6.57926005e+32		1.16600000e+06		4.19027784e-02
4.25e+14		7.66379200e+32		1.15000000e+06		4.94891719e-02
4.50e+14		8.87782728e+32		1.14200000e+06		5.77304450e-02
4.75e+14		1.02553478e+33		1.13800000e+06		6.69225452e-02
5.00e+14		1.17646511e+33		1.14000000e+06		7.66370042e-02
5.50e+14		1.52201366e+33		1.15200000e+06		9.81138662e-02
6.00e+14		1.91442420e+33		1.17200000e+06		1.21303933e-01
6.50e+14		2.33545704e+33		1.19000000e+06		1.45743515e-01
7.00e+14		2.76127960e+33		1.20800000e+06		1.69749213e-01
7.50e+14		3.16740064e+33		1.22200000e+06		1.92484655e-01
8.00e+14		3.53399613e+33		1.23400000e+06		2.12674406e-01
8.50e+14		3.84950955e+33		1.24000000e+06		2.30540926e-01
9.00e+14		4.11147025e+33		1.24400000e+06		2.45437597e-01
9.50e+14		4.32460875e+33		1.24400000e+06		2.58161075e-01
1.00e+15		4.49771162e+33		1.24400000e+06		2.68494593e-01
1.05e+15		4.64045084e+33		1.24000000e+06		2.77909126e-01
1.10e+15		4.76128829e+33		1.23800000e+06		2.85606542e-01
1.20e+15		4.96042638e+33		1.22800000e+06		2.99974929e-01
1.30e+15		5.12282864e+33		1.21600000e+06		3.12853178e-01
1.40e+15		5.25718542e+33		1.20000000e+06		3.25339179e-01
1.50e+15		5.36544211e+33		1.18200000e+06		3.37095034e-01
1.60e+15		5.44861892e+33		1.16400000e+06		3.47614410e-01
1.70e+15		5.50866766e+33		1.14600000e+06		3.56965523e-01
1.80e+15		5.54866514e+33		1.12800000e+06		3.65295005e-01
1.90e+15		5.57234104e+33		1.11200000e+06		3.72132173e-01
2.00e+15		5.58352031e+33		1.09800000e+06		3.77633121e-01
2.10e+15		5.58567732e+33		1.08600000e+06		3.81953361e-01
2.20e+15		5.58171355e+33		1.07200000e+06		3.86666972e-01
2.30e+15		5.57389348e+33		1.06400000e+06		3.89028443e-01
2.40e+15		5.56389398e+33		1.05600000e+06		3.91272428e-01
2.50e+15		5.55289871e+33		1.04800000e+06		3.93480113e-01
2.60e+15		5.54170420e+33		1.04200000e+06		3.94948018e-01
2.70e+15		5.53081520e+33		1.03800000e+06		3.95690945e-01
2.80e+15		5.52054992e+33		1.03400000e+06		3.96484415e-01
2.90e+15		5.51106629e+33		1.03000000e+06		3.97340403e-01
3.00e+15		5.50242411e+33		1.02600000e+06		3.98263970e-01
