rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.30000400e+32		1.81000000e+06		9.43657366e-03
2.25e+14		2.78876142e+32		1.53400000e+06		1.35005145e-02
2.50e+14		3.41685919e+32		1.37800000e+06		1.84137474e-02
2.75e+14		4.16974058e+32		1.28800000e+06		2.40412747e-02
3.00e+14		5.02962413e+32		1.23600000e+06		3.02190897e-02
3.25e+14		5.97494428e+32		1.20800000e+06		3.67308724e-02
3.50e+14		6.98561147e+32		1.19000000e+06		4.35935045e-02
3.75e+14		8.04165861e+32		1.18200000e+06		5.05233889e-02
4.00e+14		9.12349184e+32		1.18000000e+06		5.74173836e-02
4.25e+14		1.02552001e+33		1.17800000e+06		6.46492017e-02
4.50e+14		1.14449006e+33		1.18000000e+06		7.20268356e-02
4.75e+14		1.27191610e+33		1.18400000e+06		7.97757840e-02
5.00e+14		1.41332368e+33		1.18800000e+06		8.83465333e-02
5.50e+14		1.73905616e+33		1.19800000e+06		1.07800582e-01
6.00e+14		2.15080295e+33		1.21400000e+06		1.31566783e-01
6.50e+14		2.64372015e+33		1.23400000e+06		1.59097971e-01
7.00e+14		3.10645939e+33		1.25000000e+06		1.84552522e-01
7.50e+14		3.44957350e+33		1.26000000e+06		2.03310204e-01
8.00e+14		3.69748848e+33		1.26600000e+06		2.16888958e-01
8.50e+14		3.88801350e+33		1.26800000e+06		2.27705137e-01
9.00e+14		4.04628411e+33		1.26800000e+06		2.36974403e-01
9.50e+14		4.19219042e+33		1.26600000e+06		2.45907408e-01
1.00e+15		4.32403464e+33		1.26400000e+06		2.54042518e-01
1.05e+15		4.43841919e+33		1.26000000e+06		2.61590574e-01
1.10e+15		4.53762176e+33		1.25400000e+06		2.68716957e-01
1.20e+15		4.69759089e+33		1.24400000e+06		2.80426550e-01
1.30e+15		4.81640857e+33		1.23000000e+06		2.90792049e-01
1.40e+15		4.90386307e+33		1.21800000e+06		2.98989106e-01
1.50e+15		4.96732927e+33		1.20400000e+06		3.06380260e-01
1.60e+15		5.01237125e+33		1.19200000e+06		3.12270740e-01
1.70e+15		5.04321412e+33		1.18000000e+06		3.17387427e-01
1.80e+15		5.06306739e+33		1.16800000e+06		3.21910530e-01
1.90e+15		5.07438508e+33		1.15600000e+06		3.25979212e-01
2.00e+15		5.07905317e+33		1.14600000e+06		3.29126203e-01
2.10e+15		5.07852764e+33		1.13600000e+06		3.31989086e-01
2.20e+15		5.07394767e+33		1.12600000e+06		3.34635423e-01
2.30e+15		5.06620715e+33		1.11600000e+06		3.37118873e-01
2.40e+15		5.05600594e+33		1.10600000e+06		3.39482011e-01
2.50e+15		5.04531255e+33		1.09800000e+06		3.41232237e-01
2.60e+15		5.04531264e+33		1.09800000e+06		3.41232243e-01
2.70e+15		5.04531274e+33		1.09800000e+06		3.41232250e-01
2.80e+15		5.04531284e+33		1.09800000e+06		3.41232257e-01
2.90e+15		5.04531294e+33		1.09800000e+06		3.41232263e-01
3.00e+15		5.04531304e+33		1.09800000e+06		3.41232270e-01
