rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.30000400e+32		1.81000000e+06		9.43657366e-03
2.25e+14		2.78876142e+32		1.53400000e+06		1.35005145e-02
2.50e+14		3.41685919e+32		1.37800000e+06		1.84137474e-02
2.75e+14		4.16974058e+32		1.28800000e+06		2.40412747e-02
3.00e+14		5.02962413e+32		1.23600000e+06		3.02190897e-02
3.25e+14		5.97494428e+32		1.20800000e+06		3.67308724e-02
3.50e+14		6.98561147e+32		1.19000000e+06		4.35935045e-02
3.75e+14		8.04165861e+32		1.18200000e+06		5.05233889e-02
4.00e+14		9.12362190e+32		1.18000000e+06		5.74182021e-02
4.25e+14		1.02557383e+33		1.17800000e+06		6.46525946e-02
4.50e+14		1.14412001e+33		1.18000000e+06		7.20035471e-02
4.75e+14		1.27114090e+33		1.18200000e+06		7.98620645e-02
5.00e+14		1.40790206e+33		1.18600000e+06		8.81560403e-02
5.50e+14		1.72865186e+33		1.19800000e+06		1.07155641e-01
6.00e+14		2.13686531e+33		1.21400000e+06		1.30714203e-01
6.50e+14		2.66212774e+33		1.23400000e+06		1.60205732e-01
7.00e+14		3.20621526e+33		1.25400000e+06		1.89871359e-01
7.50e+14		3.60483442e+33		1.26600000e+06		2.11454014e-01
8.00e+14		3.87748425e+33		1.27200000e+06		2.26374367e-01
8.50e+14		4.07884990e+33		1.27400000e+06		2.37756618e-01
9.00e+14		4.24155639e+33		1.27600000e+06		2.46853273e-01
9.50e+14		4.38796621e+33		1.27400000e+06		2.55775042e-01
1.00e+15		4.51809252e+33		1.27200000e+06		2.63774207e-01
1.05e+15		4.62973805e+33		1.26800000e+06		2.71144927e-01
1.10e+15		4.72543770e+33		1.26400000e+06		2.77625456e-01
1.20e+15		4.87732754e+33		1.25200000e+06		2.89295655e-01
1.30e+15		4.98774734e+33		1.24000000e+06		2.98708154e-01
1.40e+15		5.06706215e+33		1.22800000e+06		3.06423580e-01
1.50e+15		5.12294154e+33		1.21400000e+06		3.13375493e-01
1.60e+15		5.16107724e+33		1.20200000e+06		3.18860123e-01
1.70e+15		5.18569643e+33		1.19000000e+06		3.23611872e-01
1.80e+15		5.19997404e+33		1.17800000e+06		3.27808494e-01
1.90e+15		5.20630817e+33		1.16600000e+06		3.31585582e-01
2.00e+15		5.20652825e+33		1.15600000e+06		3.34468107e-01
2.10e+15		5.20203457e+33		1.14600000e+06		3.37095484e-01
2.20e+15		5.19391216e+33		1.13600000e+06		3.39531902e-01
2.30e+15		5.18300553e+33		1.12600000e+06		3.41827973e-01
2.40e+15		5.17425985e+33		1.12000000e+06		3.43079312e-01
2.50e+15		5.17425995e+33		1.12000000e+06		3.43079318e-01
2.60e+15		5.17426005e+33		1.12000000e+06		3.43079325e-01
2.70e+15		5.17426015e+33		1.12000000e+06		3.43079332e-01
2.80e+15		5.17426025e+33		1.12000000e+06		3.43079338e-01
2.90e+15		5.17426035e+33		1.12000000e+06		3.43079345e-01
3.00e+15		5.17425493e+33		1.11800000e+06		3.43692722e-01
