rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.30000400e+32		1.81000000e+06		9.43657366e-03
2.25e+14		2.78876142e+32		1.53400000e+06		1.35005145e-02
2.50e+14		3.41685919e+32		1.37800000e+06		1.84137474e-02
2.75e+14		4.16974058e+32		1.28800000e+06		2.40412747e-02
3.00e+14		5.02962413e+32		1.23600000e+06		3.02190897e-02
3.25e+14		5.97494428e+32		1.20800000e+06		3.67308724e-02
3.50e+14		6.98561147e+32		1.19000000e+06		4.35935045e-02
3.75e+14		8.04165861e+32		1.18200000e+06		5.05233889e-02
4.00e+14		9.12374583e+32		1.18000000e+06		5.74189820e-02
4.25e+14		1.02553968e+33		1.17800000e+06		6.46504414e-02
4.50e+14		1.14335797e+33		1.18000000e+06		7.19555894e-02
4.75e+14		1.26944212e+33		1.18200000e+06		7.97553351e-02
5.00e+14		1.40535537e+33		1.18600000e+06		8.79965786e-02
5.50e+14		1.71826002e+33		1.19800000e+06		1.06511472e-01
6.00e+14		2.11575785e+33		1.21200000e+06		1.29636608e-01
6.50e+14		2.65270718e+33		1.23200000e+06		1.59897960e-01
7.00e+14		3.28167459e+33		1.25600000e+06		1.94030585e-01
7.50e+14		3.74626449e+33		1.27000000e+06		2.19057957e-01
8.00e+14		4.04402065e+33		1.27800000e+06		2.34988619e-01
8.50e+14		4.25481142e+33		1.28200000e+06		2.46465769e-01
9.00e+14		4.42065124e+33		1.28200000e+06		2.56072267e-01
9.50e+14		4.56685064e+33		1.28200000e+06		2.64541067e-01
1.00e+15		4.69499614e+33		1.27800000e+06		2.72815288e-01
1.05e+15		4.80379785e+33		1.27600000e+06		2.79575021e-01
1.10e+15		4.89610074e+33		1.27000000e+06		2.86293140e-01
1.20e+15		5.04044779e+33		1.26000000e+06		2.97072803e-01
1.30e+15		5.14319675e+33		1.24800000e+06		3.06043296e-01
1.40e+15		5.21517391e+33		1.23600000e+06		3.13339137e-01
1.50e+15		5.26432106e+33		1.22200000e+06		3.19915646e-01
1.60e+15		5.29635377e+33		1.21000000e+06		3.25054314e-01
1.70e+15		5.31551227e+33		1.19800000e+06		3.29497880e-01
1.80e+15		5.32491665e+33		1.18600000e+06		3.33420611e-01
1.90e+15		5.32692094e+33		1.17600000e+06		3.36382386e-01
2.00e+15		5.32328853e+33		1.16400000e+06		3.39618504e-01
2.10e+15		5.31537425e+33		1.15400000e+06		3.42052176e-01
2.20e+15		5.30421298e+33		1.14400000e+06		3.44317619e-01
2.30e+15		5.29822309e+33		1.14000000e+06		3.45135560e-01
2.40e+15		5.29822318e+33		1.14000000e+06		3.45135566e-01
2.50e+15		5.29822327e+33		1.14000000e+06		3.45135572e-01
2.60e+15		5.29822337e+33		1.14000000e+06		3.45135578e-01
2.70e+15		5.29822346e+33		1.14000000e+06		3.45135584e-01
2.80e+15		5.29822356e+33		1.14000000e+06		3.45135590e-01
2.90e+15		5.29822365e+33		1.14000000e+06		3.45135596e-01
3.00e+15		5.29822375e+33		1.14000000e+06		3.45135603e-01
