rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.30000400e+32		1.81000000e+06		9.43657366e-03
2.25e+14		2.78876142e+32		1.53400000e+06		1.35005145e-02
2.50e+14		3.41685919e+32		1.37800000e+06		1.84137474e-02
2.75e+14		4.16974058e+32		1.28800000e+06		2.40412747e-02
3.00e+14		5.02962413e+32		1.23600000e+06		3.02190897e-02
3.25e+14		5.97494428e+32		1.20800000e+06		3.67308724e-02
3.50e+14		6.98561147e+32		1.19000000e+06		4.35935045e-02
3.75e+14		8.04165861e+32		1.18200000e+06		5.05233889e-02
4.00e+14		9.12387627e+32		1.18000000e+06		5.74198030e-02
4.25e+14		1.02543302e+33		1.17800000e+06		6.46437179e-02
4.50e+14		1.14223265e+33		1.18000000e+06		7.18847687e-02
4.75e+14		1.26690982e+33		1.18200000e+06		7.95962381e-02
5.00e+14		1.40120709e+33		1.18600000e+06		8.77368329e-02
5.50e+14		1.70599173e+33		1.19600000e+06		1.05927826e-01
6.00e+14		2.09115493e+33		1.21000000e+06		1.28340923e-01
6.50e+14		2.62134793e+33		1.23000000e+06		1.58264633e-01
7.00e+14		3.32659370e+33		1.25600000e+06		1.96686449e-01
7.50e+14		3.87314223e+33		1.27400000e+06		2.25765894e-01
8.00e+14		4.19786154e+33		1.28200000e+06		2.43166869e-01
8.50e+14		4.41701908e+33		1.28600000e+06		2.55066031e-01
9.00e+14		4.58498078e+33		1.28800000e+06		2.64354053e-01
9.50e+14		4.73025722e+33		1.28800000e+06		2.72730188e-01
1.00e+15		4.85623747e+33		1.28400000e+06		2.80866026e-01
1.05e+15		4.96228554e+33		1.28200000e+06		2.87447174e-01
1.10e+15		5.05136228e+33		1.27800000e+06		2.93522894e-01
1.20e+15		5.18873851e+33		1.26600000e+06		3.04363379e-01
1.30e+15		5.28447784e+33		1.25400000e+06		3.12945609e-01
1.40e+15		5.34990368e+33		1.24200000e+06		3.19881177e-01
1.50e+15		5.39306705e+33		1.23000000e+06		3.25607969e-01
1.60e+15		5.41973089e+33		1.21800000e+06		3.30441628e-01
1.70e+15		5.43409946e+33		1.20600000e+06		3.34614374e-01
1.80e+15		5.43925980e+33		1.19400000e+06		3.38298283e-01
1.90e+15		5.43750317e+33		1.18200000e+06		3.41622420e-01
2.00e+15		5.43055191e+33		1.17200000e+06		3.44096833e-01
2.10e+15		5.41970034e+33		1.16200000e+06		3.46364573e-01
2.20e+15		5.41405802e+33		1.15800000e+06		3.47199159e-01
2.30e+15		5.41405811e+33		1.15800000e+06		3.47199164e-01
2.40e+15		5.41405820e+33		1.15800000e+06		3.47199170e-01
2.50e+15		5.41405829e+33		1.15800000e+06		3.47199176e-01
2.60e+15		5.41405838e+33		1.15800000e+06		3.47199182e-01
2.70e+15		5.41405847e+33		1.15800000e+06		3.47199188e-01
2.80e+15		5.41405856e+33		1.15800000e+06		3.47199193e-01
2.90e+15		5.41405866e+33		1.15800000e+06		3.47199199e-01
3.00e+15		5.41405875e+33		1.15800000e+06		3.47199205e-01
