rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		1.08279812e+32		2.50000000e+06		3.21641295e-03
2.25e+14		1.72953281e+32		1.33800000e+06		9.59924350e-03
2.50e+14		2.65273674e+32		1.13000000e+06		1.74333170e-02
2.75e+14		3.80874623e+32		1.07600000e+06		2.62865798e-02
3.00e+14		5.16905475e+32		1.07000000e+06		3.58749804e-02
3.25e+14		6.70022705e+32		1.08200000e+06		4.59860998e-02
3.50e+14		8.36594424e+32		1.10200000e+06		5.63764453e-02
3.75e+14		1.01299467e+33		1.12200000e+06		6.70468877e-02
4.00e+14		1.19583076e+33		1.14400000e+06		7.76261440e-02
4.25e+14		1.38207440e+33		1.16400000e+06		8.81744502e-02
4.50e+14		1.56913504e+33		1.18200000e+06		9.85841646e-02
4.75e+14		1.75486391e+33		1.19800000e+06		1.08780473e-01
5.00e+14		1.93753438e+33		1.21200000e+06		1.18716509e-01
5.50e+14		2.28862840e+33		1.23600000e+06		1.37505836e-01
6.00e+14		2.61525350e+33		1.25400000e+06		1.54874734e-01
6.50e+14		2.91394919e+33		1.26600000e+06		1.70927754e-01
7.00e+14		3.18371750e+33		1.27400000e+06		1.85579250e-01
7.50e+14		3.40205666e+33		1.27800000e+06		1.97685587e-01
8.00e+14		3.58013125e+33		1.28000000e+06		2.07708035e-01
8.50e+14		3.73435389e+33		1.27800000e+06		2.16994605e-01
9.00e+14		3.87060956e+33		1.27600000e+06		2.25264631e-01
9.50e+14		3.99216963e+33		1.27200000e+06		2.33069902e-01
1.00e+15		4.10112245e+33		1.26800000e+06		2.40186061e-01
1.05e+15		4.19893151e+33		1.26200000e+06		2.47083505e-01
1.10e+15		4.28665620e+33		1.25800000e+06		2.53047662e-01
1.20e+15		4.40993267e+33		1.24600000e+06		2.62831997e-01
1.30e+15		4.50644808e+33		1.23400000e+06		2.71196156e-01
1.40e+15		4.58427241e+33		1.22000000e+06		2.79045423e-01
1.50e+15		4.64526152e+33		1.20600000e+06		2.86040270e-01
1.60e+15		4.69187677e+33		1.19200000e+06		2.92303933e-01
1.70e+15		4.71078505e+33		1.18400000e+06		2.95464905e-01
1.80e+15		4.71078478e+33		1.18400000e+06		2.95464889e-01
1.90e+15		4.71078452e+33		1.18400000e+06		2.95464872e-01
2.00e+15		4.71078425e+33		1.18400000e+06		2.95464855e-01
2.10e+15		4.71078398e+33		1.18400000e+06		2.95464838e-01
2.20e+15		4.71078371e+33		1.18400000e+06		2.95464821e-01
2.30e+15		4.71078343e+33		1.18400000e+06		2.95464804e-01
2.40e+15		4.71078315e+33		1.18400000e+06		2.95464786e-01
2.50e+15		4.71077674e+33		1.18200000e+06		2.95964324e-01
2.60e+15		4.71077645e+33		1.18200000e+06		2.95964306e-01
2.70e+15		4.71077616e+33		1.18200000e+06		2.95964288e-01
2.80e+15		4.71077587e+33		1.18200000e+06		2.95964269e-01
2.90e+15		4.71077558e+33		1.18200000e+06		2.95964251e-01
3.00e+15		4.71077528e+33		1.18200000e+06		2.95964232e-01
