rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		4.29414303e+32		1.19000000e+06		2.67974742e-02
2.25e+14		5.74755786e+32		1.19400000e+06		3.57473081e-02
2.50e+14		7.36537216e+32		1.21000000e+06		4.52036646e-02
2.75e+14		9.12129033e+32		1.23200000e+06		5.49806525e-02
3.00e+14		1.09870191e+33		1.25400000e+06		6.50648839e-02
3.25e+14		1.29353867e+33		1.27200000e+06		7.55190682e-02
3.50e+14		1.49419789e+33		1.29400000e+06		8.57507960e-02
3.75e+14		1.69846819e+33		1.30800000e+06		9.64304050e-02
4.00e+14		1.90440932e+33		1.32400000e+06		1.06816079e-01
4.25e+14		2.11000328e+33		1.33800000e+06		1.17109286e-01
4.50e+14		2.31361724e+33		1.35000000e+06		1.27268833e-01
4.75e+14		2.51382443e+33		1.36000000e+06		1.37265170e-01
5.00e+14		2.70951933e+33		1.36800000e+06		1.47085708e-01
5.50e+14		3.08304416e+33		1.38200000e+06		1.65667005e-01
6.00e+14		3.42792675e+33		1.39000000e+06		1.83139089e-01
6.50e+14		3.71028672e+33		1.39000000e+06		1.98224344e-01
7.00e+14		3.92627240e+33		1.39200000e+06		2.09462127e-01
7.50e+14		4.07770823e+33		1.39000000e+06		2.17854064e-01
8.00e+14		4.19655351e+33		1.38600000e+06		2.24850497e-01
8.50e+14		4.29924200e+33		1.38000000e+06		2.31354059e-01
9.00e+14		4.38923443e+33		1.37600000e+06		2.36883418e-01
9.50e+14		4.46857570e+33		1.36800000e+06		2.42575726e-01
1.00e+15		4.53873192e+33		1.36000000e+06		2.47833461e-01
1.05e+15		4.60082921e+33		1.35200000e+06		2.52710762e-01
1.10e+15		4.65578423e+33		1.34200000e+06		2.57634872e-01
1.20e+15		4.74722292e+33		1.32400000e+06		2.66266150e-01
1.30e+15		4.80905337e+33		1.30800000e+06		2.73033648e-01
1.40e+15		4.85247788e+33		1.29200000e+06		2.78910824e-01
1.50e+15		4.88335326e+33		1.27400000e+06		2.84651208e-01
1.60e+15		4.90418946e+33		1.25800000e+06		2.89501565e-01
1.70e+15		4.91683445e+33		1.24000000e+06		2.94461296e-01
1.80e+15		4.92282869e+33		1.22600000e+06		2.98186907e-01
1.90e+15		4.92342688e+33		1.21000000e+06		3.02166588e-01
2.00e+15		4.91969939e+33		1.19400000e+06		3.05983887e-01
2.10e+15		4.91250517e+33		1.18000000e+06		3.09161447e-01
2.20e+15		4.90443301e+33		1.16800000e+06		3.11824534e-01
2.30e+15		4.90443309e+33		1.16800000e+06		3.11824539e-01
2.40e+15		4.90443317e+33		1.16800000e+06		3.11824544e-01
2.50e+15		4.90443324e+33		1.16800000e+06		3.11824549e-01
2.60e+15		4.90443332e+33		1.16800000e+06		3.11824554e-01
2.70e+15		4.90443340e+33		1.16800000e+06		3.11824559e-01
2.80e+15		4.90443348e+33		1.16800000e+06		3.11824564e-01
2.90e+15		4.90443356e+33		1.16800000e+06		3.11824569e-01
3.00e+15		4.90443364e+33		1.16800000e+06		3.11824574e-01
