rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		3.45377636e+32		1.48800000e+06		1.72367586e-02
2.25e+14		4.15176790e+32		1.39400000e+06		2.21174274e-02
2.50e+14		4.95072261e+32		1.33600000e+06		2.75186074e-02
2.75e+14		5.88208503e+32		1.29600000e+06		3.37047115e-02
3.00e+14		6.97149058e+32		1.27400000e+06		4.06368967e-02
3.25e+14		8.23734334e+32		1.26000000e+06		4.85490729e-02
3.50e+14		9.69280760e+32		1.25400000e+06		5.74005922e-02
3.75e+14		1.13427787e+33		1.25600000e+06		6.70647231e-02
4.00e+14		1.31851421e+33		1.26000000e+06		7.77103005e-02
4.25e+14		1.52087541e+33		1.26800000e+06		8.90714871e-02
4.50e+14		1.73943813e+33		1.27800000e+06		1.01074698e-01
4.75e+14		1.97140471e+33		1.29000000e+06		1.13488119e-01
5.00e+14		2.21322961e+33		1.30200000e+06		1.26235006e-01
5.50e+14		2.71008861e+33		1.32200000e+06		1.52235646e-01
6.00e+14		3.19695008e+33		1.34000000e+06		1.77172117e-01
6.50e+14		3.64683225e+33		1.35200000e+06		2.00310361e-01
7.00e+14		4.04407284e+33		1.36000000e+06		2.20823037e-01
7.50e+14		4.38378893e+33		1.36200000e+06		2.39021433e-01
8.00e+14		4.66830336e+33		1.36200000e+06		2.54534280e-01
8.50e+14		4.90353543e+33		1.36000000e+06		2.67753235e-01
9.00e+14		5.09654410e+33		1.35600000e+06		2.79113225e-01
9.50e+14		5.25419776e+33		1.35000000e+06		2.89026035e-01
1.00e+15		5.38260519e+33		1.34200000e+06		2.97854611e-01
1.05e+15		5.48696563e+33		1.33600000e+06		3.04993160e-01
1.10e+15		5.57156951e+33		1.32800000e+06		3.11561507e-01
1.20e+15		5.69495893e+33		1.31400000e+06		3.21854473e-01
1.30e+15		5.77377436e+33		1.29800000e+06		3.30331077e-01
1.40e+15		5.82193588e+33		1.28400000e+06		3.36718294e-01
1.50e+15		5.84875721e+33		1.27000000e+06		3.41998491e-01
1.60e+15		5.86057054e+33		1.25600000e+06		3.46509046e-01
1.70e+15		5.86175315e+33		1.24400000e+06		3.49922173e-01
1.80e+15		5.85537457e+33		1.23200000e+06		3.52946023e-01
1.90e+15		5.84361432e+33		1.22000000e+06		3.55701774e-01
2.00e+15		5.82805646e+33		1.21000000e+06		3.57686622e-01
2.10e+15		5.80984280e+33		1.20000000e+06		3.59540198e-01
2.20e+15		5.78982052e+33		1.19200000e+06		3.60705832e-01
2.30e+15		5.76860456e+33		1.18200000e+06		3.62424552e-01
2.40e+15		5.74667037e+33		1.17400000e+06		3.63506773e-01
2.50e+15		5.72436275e+33		1.16800000e+06		3.63955781e-01
2.60e+15		5.70193129e+33		1.16000000e+06		3.65029790e-01
2.70e+15		5.67958044e+33		1.15400000e+06		3.65489382e-01
2.80e+15		5.65744643e+33		1.14800000e+06		3.65967804e-01
2.90e+15		5.63563743e+33		1.14200000e+06		3.66472389e-01
3.00e+15		5.61422923e+33		1.13600000e+06		3.67008504e-01
