rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.68724876e+32		1.53800000e+06		1.29752536e-02
2.25e+14		3.53950062e+32		1.36400000e+06		1.92704537e-02
2.50e+14		4.54097705e+32		1.28400000e+06		2.62632581e-02
2.75e+14		5.69271423e+32		1.24600000e+06		3.39285780e-02
3.00e+14		6.99046010e+32		1.23200000e+06		4.21365885e-02
3.25e+14		8.41197324e+32		1.22800000e+06		5.08702455e-02
3.50e+14		9.94784406e+32		1.23000000e+06		6.00603938e-02
3.75e+14		1.15688893e+33		1.23600000e+06		6.95084355e-02
4.00e+14		1.32647298e+33		1.24400000e+06		7.91848948e-02
4.25e+14		1.50041728e+33		1.25400000e+06		8.88543794e-02
4.50e+14		1.67788310e+33		1.26200000e+06		9.87339845e-02
4.75e+14		1.85591520e+33		1.27200000e+06		1.08351602e-01
5.00e+14		2.03403555e+33		1.28000000e+06		1.18008391e-01
5.50e+14		2.38270504e+33		1.29400000e+06		1.36741495e-01
6.00e+14		2.71495674e+33		1.30400000e+06		1.54614293e-01
6.50e+14		3.02500225e+33		1.31000000e+06		1.71482072e-01
7.00e+14		3.30969764e+33		1.31400000e+06		1.87049811e-01
7.50e+14		3.56790934e+33		1.31600000e+06		2.01336372e-01
8.00e+14		3.79990917e+33		1.31400000e+06		2.14754448e-01
8.50e+14		4.00687947e+33		1.31200000e+06		2.26796716e-01
9.00e+14		4.19051058e+33		1.30800000e+06		2.37915926e-01
9.50e+14		4.35273999e+33		1.30200000e+06		2.48265321e-01
1.00e+15		4.49557030e+33		1.29600000e+06		2.57598962e-01
1.05e+15		4.62094997e+33		1.28800000e+06		2.66427912e-01
1.10e+15		4.73072423e+33		1.28200000e+06		2.74033669e-01
1.20e+15		4.91006363e+33		1.26600000e+06		2.88016742e-01
1.30e+15		5.04530544e+33		1.25000000e+06		2.99737974e-01
1.40e+15		5.14586611e+33		1.23400000e+06		3.09676066e-01
1.50e+15		5.21920898e+33		1.21600000e+06		3.18739164e-01
1.60e+15		5.27123349e+33		1.20200000e+06		3.25665763e-01
1.70e+15		5.30657820e+33		1.18600000e+06		3.32272346e-01
1.80e+15		5.32891209e+33		1.17200000e+06		3.37656614e-01
1.90e+15		5.34112492e+33		1.15800000e+06		3.42522018e-01
2.00e+15		5.34550658e+33		1.14600000e+06		3.46392570e-01
2.10e+15		5.34385809e+33		1.13400000e+06		3.49950146e-01
2.20e+15		5.33760576e+33		1.12200000e+06		3.53279107e-01
2.30e+15		5.32788220e+33		1.11200000e+06		3.55806718e-01
2.40e+15		5.31557292e+33		1.10200000e+06		3.58205956e-01
2.50e+15		5.30203995e+33		1.09400000e+06		3.59906750e-01
2.60e+15		5.30204002e+33		1.09400000e+06		3.59906754e-01
2.70e+15		5.30203604e+33		1.09200000e+06		3.60565654e-01
2.80e+15		5.30203611e+33		1.09200000e+06		3.60565658e-01
2.90e+15		5.30203618e+33		1.09200000e+06		3.60565663e-01
3.00e+15		5.30203625e+33		1.09200000e+06		3.60565668e-01
