rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.33856827e+32		2.89000000e+06		6.00919819e-03
2.25e+14		2.51871767e+32		2.29000000e+06		8.16786073e-03
2.50e+14		2.82415132e+32		1.89000000e+06		1.10966139e-02
2.75e+14		3.25458300e+32		1.63000000e+06		1.48276411e-02
3.00e+14		3.80828899e+32		1.46000000e+06		1.93705236e-02
3.25e+14		4.48314126e+32		1.35000000e+06		2.46611300e-02
3.50e+14		5.27862559e+32		1.28000000e+06		3.06249372e-02
3.75e+14		6.18288336e+32		1.23400000e+06		3.72083329e-02
4.00e+14		7.19417981e+32		1.20600000e+06		4.42994463e-02
4.25e+14		8.29395718e+32		1.18800000e+06		5.18453327e-02
4.50e+14		9.46819966e+32		1.17800000e+06		5.96879187e-02
4.75e+14		1.07017146e+33		1.17400000e+06		6.76939080e-02
5.00e+14		1.19799732e+33		1.17200000e+06		7.59088748e-02
5.50e+14		1.46183989e+33		1.17600000e+06		9.23117120e-02
6.00e+14		1.72726815e+33		1.18000000e+06		1.08703137e-01
6.50e+14		1.98651431e+33		1.18600000e+06		1.24385950e-01
7.00e+14		2.23497764e+33		1.19200000e+06		1.39239112e-01
7.50e+14		2.46796394e+33		1.19400000e+06		1.53496614e-01
8.00e+14		2.68447679e+33		1.19800000e+06		1.66405300e-01
8.50e+14		2.88409255e+33		1.19800000e+06		1.78779078e-01
9.00e+14		3.06635889e+33		1.19800000e+06		1.90077400e-01
9.50e+14		3.23208821e+33		1.19600000e+06		2.00685661e-01
1.00e+15		3.38247501e+33		1.19400000e+06		2.10375222e-01
1.05e+15		3.51799855e+33		1.19000000e+06		2.19539673e-01
1.10e+15		3.63965810e+33		1.18600000e+06		2.27897844e-01
1.20e+15		3.84757594e+33		1.17600000e+06		2.42965268e-01
1.30e+15		4.01455084e+33		1.16600000e+06		2.55683516e-01
1.40e+15		4.14765368e+33		1.15600000e+06		2.66445856e-01
1.50e+15		4.25343669e+33		1.14400000e+06		2.76107540e-01
1.60e+15		4.33692075e+33		1.13200000e+06		2.84511206e-01
1.70e+15		4.40243663e+33		1.12000000e+06		2.91903572e-01
1.80e+15		4.45340716e+33		1.11000000e+06		2.97943381e-01
1.90e+15		4.49251619e+33		1.09800000e+06		3.03844674e-01
2.00e+15		4.52195666e+33		1.08800000e+06		3.08646828e-01
2.10e+15		4.54348612e+33		1.07800000e+06		3.12993099e-01
2.20e+15		4.55203962e+33		1.07400000e+06		3.14750240e-01
2.30e+15		4.55203528e+33		1.07200000e+06		3.15337160e-01
2.40e+15		4.55203515e+33		1.07200000e+06		3.15337151e-01
2.50e+15		4.55203502e+33		1.07200000e+06		3.15337142e-01
2.60e+15		4.55203489e+33		1.07200000e+06		3.15337133e-01
2.70e+15		4.55203476e+33		1.07200000e+06		3.15337124e-01
2.80e+15		4.55203462e+33		1.07200000e+06		3.15337114e-01
2.90e+15		4.55203449e+33		1.07200000e+06		3.15337105e-01
3.00e+15		4.55203435e+33		1.07200000e+06		3.15337095e-01
