rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		4.27910577e+32		1.33200000e+06		2.38568508e-02
2.25e+14		5.60943995e+32		1.29600000e+06		3.21424384e-02
2.50e+14		7.03594815e+32		1.28600000e+06		4.06299211e-02
2.75e+14		8.55287771e+32		1.28600000e+06		4.93896117e-02
3.00e+14		1.01435115e+33		1.29200000e+06		5.83028962e-02
3.25e+14		1.17879977e+33		1.30000000e+06		6.73381231e-02
3.50e+14		1.34680366e+33		1.30800000e+06		7.64646777e-02
3.75e+14		1.51682440e+33		1.31800000e+06		8.54641963e-02
4.00e+14		1.68738549e+33		1.32600000e+06		9.45007170e-02
4.25e+14		1.85699070e+33		1.33400000e+06		1.03375642e-01
4.50e+14		2.02478577e+33		1.34000000e+06		1.12211818e-01
4.75e+14		2.18985882e+33		1.34600000e+06		1.20819038e-01
5.00e+14		2.35124741e+33		1.35000000e+06		1.29338816e-01
5.50e+14		2.66117099e+33		1.35800000e+06		1.45524906e-01
6.00e+14		2.95121554e+33		1.36000000e+06		1.61148527e-01
6.50e+14		3.21968571e+33		1.36200000e+06		1.75549942e-01
7.00e+14		3.46598288e+33		1.36000000e+06		1.89256944e-01
7.50e+14		3.69019930e+33		1.35600000e+06		2.02094480e-01
8.00e+14		3.89315349e+33		1.35200000e+06		2.13840102e-01
8.50e+14		4.07601036e+33		1.34600000e+06		2.24881918e-01
9.00e+14		4.23988061e+33		1.33800000e+06		2.35321621e-01
9.50e+14		4.38600391e+33		1.33000000e+06		2.44896000e-01
1.00e+15		4.51598610e+33		1.32200000e+06		2.53679550e-01
1.05e+15		4.63116619e+33		1.31200000e+06		2.62132487e-01
1.10e+15		4.73280874e+33		1.30400000e+06		2.69529112e-01
1.20e+15		4.90063626e+33		1.28600000e+06		2.82993082e-01
1.30e+15		5.02859661e+33		1.26600000e+06		2.94969703e-01
1.40e+15		5.12461321e+33		1.24800000e+06		3.04937492e-01
1.50e+15		5.19506171e+33		1.23000000e+06		3.13653340e-01
1.60e+15		5.24527934e+33		1.21400000e+06		3.20859020e-01
1.70e+15		5.27951710e+33		1.19800000e+06		3.27266612e-01
1.80e+15		5.30121781e+33		1.18200000e+06		3.33060009e-01
1.90e+15		5.31311803e+33		1.16800000e+06		3.37808784e-01
2.00e+15		5.31740252e+33		1.15600000e+06		3.41590687e-01
2.10e+15		5.31579272e+33		1.14200000e+06		3.45673631e-01
2.20e+15		5.30966496e+33		1.13000000e+06		3.48941796e-01
2.30e+15		5.30011449e+33		1.12000000e+06		3.51424104e-01
2.40e+15		5.28799761e+33		1.11000000e+06		3.53779439e-01
2.50e+15		5.27399285e+33		1.10000000e+06		3.56050147e-01
2.60e+15		5.25864684e+33		1.09200000e+06		3.57614965e-01
2.70e+15		5.24238325e+33		1.08200000e+06		3.59803865e-01
2.80e+15		5.22554534e+33		1.07400000e+06		3.61319713e-01
2.90e+15		5.20836650e+33		1.06800000e+06		3.62155097e-01
3.00e+15		5.19858033e+33		1.06200000e+06		3.63516862e-01
