rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		3.73504391e+32		1.38400000e+06		2.00412100e-02
2.25e+14		4.65653376e+32		1.32200000e+06		2.61574629e-02
2.50e+14		5.66041388e+32		1.28800000e+06		3.26359788e-02
2.75e+14		6.74844911e+32		1.27200000e+06		3.93986357e-02
3.00e+14		7.91774944e+32		1.26200000e+06		4.65915026e-02
3.25e+14		9.16209827e+32		1.26000000e+06		5.39993731e-02
3.50e+14		1.04718251e+33		1.26000000e+06		6.17186121e-02
4.00e+14		1.32508255e+33		1.26600000e+06		7.77272940e-02
4.25e+14		1.46983640e+33		1.27000000e+06		8.59467767e-02
4.50e+14		1.61701391e+33		1.27600000e+06		9.41081857e-02
4.75e+14		1.76572830e+33		1.28000000e+06		1.02442042e-01
5.00e+14		1.91496203e+33		1.28400000e+06		1.10754011e-01
5.50e+14		2.21158107e+33		1.29200000e+06		1.27117302e-01
6.00e+14		2.50083934e+33		1.29800000e+06		1.43078843e-01
6.50e+14		2.77799349e+33		1.30000000e+06		1.58690960e-01
7.00e+14		3.03998873e+33		1.30200000e+06		1.73390503e-01
7.50e+14		3.28454459e+33		1.30200000e+06		1.87339128e-01
8.00e+14		3.51044260e+33		1.30000000e+06		2.00531610e-01
8.50e+14		3.71731592e+33		1.29600000e+06		2.13004505e-01
9.00e+14		3.90527864e+33		1.29200000e+06		2.24467687e-01
9.50e+14		4.07522366e+33		1.28600000e+06		2.35328647e-01
1.00e+15		4.22777726e+33		1.28000000e+06		2.45282434e-01
1.05e+15		4.36411465e+33		1.27200000e+06		2.54784707e-01
1.10e+15		4.48542460e+33		1.26600000e+06		2.63108072e-01
1.20e+15		4.68780509e+33		1.25000000e+06		2.78499135e-01
1.30e+15		4.84436380e+33		1.23400000e+06		2.91531782e-01
1.40e+15		4.96369073e+33		1.21800000e+06		3.02636806e-01
1.50e+15		5.05309981e+33		1.20200000e+06		3.12189094e-01
1.60e+15		5.11871177e+33		1.18600000e+06		3.20509055e-01
1.70e+15		5.16553552e+33		1.17200000e+06		3.27304562e-01
1.80e+15		5.19756565e+33		1.15800000e+06		3.33315678e-01
1.90e+15		5.21801084e+33		1.14400000e+06		3.38721895e-01
2.00e+15		5.22941661e+33		1.13200000e+06		3.43060829e-01
2.10e+15		5.23379714e+33		1.12000000e+06		3.47026932e-01
2.20e+15		5.23275304e+33		1.10800000e+06		3.50715367e-01
2.30e+15		5.22755368e+33		1.09800000e+06		3.53557846e-01
2.40e+15		5.21918773e+33		1.08800000e+06		3.56236439e-01
2.50e+15		5.20844954e+33		1.08000000e+06		3.58136861e-01
2.60e+15		5.19596407e+33		1.07200000e+06		3.59944607e-01
2.70e+15		5.18222258e+33		1.06200000e+06		3.62373027e-01
2.80e+15		5.16761036e+33		1.05400000e+06		3.64093954e-01
2.90e+15		5.15244008e+33		1.04800000e+06		3.65103491e-01
3.00e+15		5.13695302e+33		1.04000000e+06		3.66806119e-01
