rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		1.73002369e+32		1.17200000e+06		1.09619737e-02
2.25e+14		2.46065202e+32		1.07600000e+06		1.69825244e-02
2.50e+14		3.32140556e+32		1.04600000e+06		2.35805832e-02
2.75e+14		4.30119665e+32		1.04200000e+06		3.06539114e-02
3.00e+14		5.37301745e+32		1.05000000e+06		3.80008464e-02
3.25e+14		6.53231079e+32		1.06200000e+06		4.56779537e-02
3.50e+14		7.77199680e+32		1.07800000e+06		5.35399757e-02
3.75e+14		9.08084252e+32		1.09200000e+06		6.17543882e-02
4.00e+14		1.04490581e+33		1.10800000e+06		7.00328340e-02
4.25e+14		1.18640566e+33		1.12400000e+06		7.83846848e-02
4.50e+14		1.33146321e+33		1.13800000e+06		8.68862845e-02
4.75e+14		1.47910290e+33		1.15200000e+06		9.53477011e-02
5.00e+14		1.62814260e+33		1.16400000e+06		1.03873264e-01
5.50e+14		1.92678120e+33		1.18400000e+06		1.20849544e-01
6.00e+14		2.22074978e+33		1.20200000e+06		1.37201695e-01
6.50e+14		2.50473757e+33		1.21400000e+06		1.53217320e-01
7.00e+14		2.77498158e+33		1.22400000e+06		1.68361584e-01
7.50e+14		3.02869191e+33		1.23000000e+06		1.82858142e-01
8.00e+14		3.26453947e+33		1.23400000e+06		1.96458617e-01
8.50e+14		3.48159929e+33		1.23600000e+06		2.09182155e-01
9.00e+14		3.67989944e+33		1.23600000e+06		2.21096465e-01
9.50e+14		3.85976976e+33		1.23600000e+06		2.31903469e-01
1.00e+15		4.02225495e+33		1.23200000e+06		2.42450567e-01
1.05e+15		4.16808281e+33		1.22800000e+06		2.52059047e-01
1.10e+15		4.29844222e+33		1.22200000e+06		2.61218665e-01
1.20e+15		4.51759752e+33		1.20200000e+06		2.79104852e-01
1.30e+15		4.68883371e+33		1.19000000e+06		2.92605299e-01
1.40e+15		4.82104896e+33		1.18400000e+06		3.02380762e-01
1.50e+15		4.92164118e+33		1.17000000e+06		3.12383728e-01
1.60e+15		4.99720737e+33		1.15200000e+06		3.22135962e-01
1.70e+15		5.05230065e+33		1.14000000e+06		3.29115740e-01
1.80e+15		5.09132137e+33		1.12600000e+06		3.35781248e-01
1.90e+15		5.11789886e+33		1.11400000e+06		3.41169993e-01
2.00e+15		5.13484831e+33		1.10400000e+06		3.45400421e-01
2.10e+15		5.14378333e+33		1.09400000e+06		3.49164163e-01
2.20e+15		5.14647261e+33		1.08600000e+06		3.51920170e-01
2.30e+15		5.14474639e+33		1.07200000e+06		3.56396560e-01
2.40e+15		5.13927947e+33		1.06400000e+06		3.58694671e-01
2.50e+15		5.13103556e+33		1.05600000e+06		3.60832315e-01
2.60e+15		5.12070634e+33		1.04800000e+06		3.62854828e-01
2.70e+15		5.10912518e+33		1.04000000e+06		3.64819062e-01
2.80e+15		5.09803671e+33		1.03400000e+06		3.66139629e-01
2.90e+15		5.09803677e+33		1.03400000e+06		3.66139634e-01
3.00e+15		5.09803683e+33		1.03400000e+06		3.66139638e-01
