rho_c		Mass (M☉)		Radius (cm)		Compactness(GM/C^2R)
2.00e+14		2.84276134e+32		1.68200000e+06		1.25510115e-02
2.25e+14		3.51890147e+32		1.48600000e+06		1.75854147e-02
2.50e+14		4.33877292e+32		1.37600000e+06		2.34160052e-02
2.75e+14		5.32921270e+32		1.31000000e+06		3.02103722e-02
3.00e+14		6.51259361e+32		1.27600000e+06		3.79024796e-02
3.25e+14		7.90188091e+32		1.25600000e+06		4.67202501e-02
3.50e+14		9.49815779e+32		1.25000000e+06		5.64278736e-02
3.75e+14		1.09140975e+33		1.25000000e+06		6.48398696e-02
4.00e+14		1.11646386e+33		1.24800000e+06		6.64346116e-02
4.25e+14		1.14622517e+33		1.24800000e+06		6.82055433e-02
4.50e+14		1.19116028e+33		1.24600000e+06		7.09931551e-02
4.75e+14		1.25431783e+33		1.24200000e+06		7.49981098e-02
5.00e+14		1.33872319e+33		1.23800000e+06		8.03034975e-02
5.50e+14		1.58001264e+33		1.23000000e+06		9.53937160e-02
6.00e+14		1.91139183e+33		1.22800000e+06		1.15588779e-01
6.50e+14		2.29881544e+33		1.23200000e+06		1.38566330e-01
7.00e+14		2.64730762e+33		1.23800000e+06		1.58799117e-01
7.50e+14		2.94041101e+33		1.24200000e+06		1.75812910e-01
8.00e+14		3.18572061e+33		1.24400000e+06		1.90174211e-01
8.50e+14		3.40394110e+33		1.24600000e+06		2.02874897e-01
9.00e+14		3.59695010e+33		1.24400000e+06		2.14722893e-01
9.50e+14		3.76709568e+33		1.24200000e+06		2.25241999e-01
1.00e+15		3.91651923e+33		1.23800000e+06		2.34932952e-01
1.05e+15		4.04733956e+33		1.23400000e+06		2.43567198e-01
1.10e+15		4.16161384e+33		1.23000000e+06		2.51258629e-01
1.20e+15		4.33261326e+33		1.22000000e+06		2.63726889e-01
1.30e+15		4.45974605e+33		1.21000000e+06		2.73708999e-01
1.40e+15		4.55557648e+33		1.19800000e+06		2.82390994e-01
1.50e+15		4.62731994e+33		1.18600000e+06		2.89740468e-01
1.60e+15		4.68039020e+33		1.17600000e+06		2.95555508e-01
1.70e+15		4.71835022e+33		1.16400000e+06		3.01024269e-01
1.80e+15		4.74532685e+33		1.15400000e+06		3.05368784e-01
1.90e+15		4.76357603e+33		1.14200000e+06		3.09764265e-01
2.00e+15		4.77486811e+33		1.13200000e+06		3.13241483e-01
2.10e+15		4.77543326e+33		1.13200000e+06		3.13278558e-01
2.20e+15		4.77543318e+33		1.13200000e+06		3.13278553e-01
2.30e+15		4.77543310e+33		1.13200000e+06		3.13278547e-01
2.40e+15		4.77543302e+33		1.13200000e+06		3.13278542e-01
2.50e+15		4.77543294e+33		1.13200000e+06		3.13278537e-01
2.60e+15		4.77542728e+33		1.13000000e+06		3.13832640e-01
2.70e+15		4.77542719e+33		1.13000000e+06		3.13832634e-01
2.80e+15		4.77542711e+33		1.13000000e+06		3.13832629e-01
2.90e+15		4.77542703e+33		1.13000000e+06		3.13832624e-01
3.00e+15		4.77542695e+33		1.13000000e+06		3.13832618e-01
